web-scraper-order;web-scraper-start-url;degree_url;degree_url-href
1738842115-1;https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/gestionar;Grau en Geografia, Anàlisi Territorial i Sostenibilitat (2018);https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3475/detall
1738842115-2;https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/gestionar;Grau en Gestió en Turisme i Hoteleria (2018);https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3505/detall
1738842115-3;https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/gestionar;Gestió d'Àrees de Muntanya (2018);https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3531/detall
1738842115-4;https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/gestionar;Gestió de Destinacions Turístiques (2017) (Semipresencial);https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3527/detall
1738842115-5;https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/gestionar;Gestió de Destinacions Turístiques (2017) (Virtual);https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3528/detall
1738842115-6;https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/gestionar;Planificació, Governança i Lideratge Territorial (2019);https://guiadocent.urv.cat/guido/public/centres/503/ensenyaments/3533/detall
1738842120-7;https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/gestionar;Grau en Bioquímica i Biologia Molecular (2009);https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/3467/detall
1738842120-8;https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/gestionar;Grau en Química (2009);https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/3459/detall
1738842120-9;https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/gestionar;Grau en Química (anglès) (2017);https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/3436/detall
1738842120-10;https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/gestionar;Doble titulació de grau en Biotecnologia i en Bioquímica i Biologia Molecular (2014);https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/3410/detall
1738842120-11;https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/gestionar;Catàlisi Sostenible (Erasmus Mundus) (2021);https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/3479/detall
1738842120-12;https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/gestionar;Genètica, Física i Química Forense (2017);https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/3503/detall
1738842120-13;https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/gestionar;Nutrició i Metabolisme (2012);https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/3409/detall
1738842120-14;https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/gestionar;Química i Bioquímica Sanitàries (2024);https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/3602/detall
1738842120-15;https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/gestionar;Síntesi, Catàlisi i Disseny Molecular (2013);https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/3521/detall
1738842120-16;https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/gestionar;Tècniques Cromatogràfiques Aplicades (2010);https://guiadocent.urv.cat/guido/public/centres/495/ensenyaments/3417/detall
1738842124-17;https://guiadocent.urv.cat/guido/public/centres/496/ensenyaments/gestionar;Grau en Fisioteràpia (2010);https://guiadocent.urv.cat/guido/public/centres/496/ensenyaments/3472/detall
1738842124-18;https://guiadocent.urv.cat/guido/public/centres/496/ensenyaments/gestionar;Grau en Medicina (2009);https://guiadocent.urv.cat/guido/public/centres/496/ensenyaments/3495/detall
1738842124-19;https://guiadocent.urv.cat/guido/public/centres/496/ensenyaments/gestionar;Grau en Nutrició Humana i Dietètica (2010);https://guiadocent.urv.cat/guido/public/centres/496/ensenyaments/3435/detall
1738842124-20;https://guiadocent.urv.cat/guido/public/centres/496/ensenyaments/gestionar;Ciències del Sistema Nerviós: Neurotoxicologia, Neuropsicofarmacologia, Fisioteràpia Neuromusculoesquelètica, Neurorehabilitació (2015);https://guiadocent.urv.cat/guido/public/centres/496/ensenyaments/3522/detall
1738842124-21;https://guiadocent.urv.cat/guido/public/centres/496/ensenyaments/gestionar;Condicionants Genètics, Nutricionals i Ambientals del Creixement i Desenvolupament NUTRENVIGEN G+D Factors (2019);https://guiadocent.urv.cat/guido/public/centres/496/ensenyaments/3532/detall
1738842124-22;https://guiadocent.urv.cat/guido/public/centres/496/ensenyaments/gestionar;Envelliment i Salut (2010);https://guiadocent.urv.cat/guido/public/centres/496/ensenyaments/3482/detall
