web-scraper-order,web-scraper-start-url,version,code,url,url-href,period,type,credits,year
"1739375092-1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204001","DIBUIX ARQUITECTÒNIC 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113951/guia_docent_docnet","Primer quadrimestre","F Bàsica","6.0","Primer curs"
"1739375092-2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204007","FÍSICA","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113953/guia_docent_docnet","Primer quadrimestre","F Bàsica","6.0","Primer curs"
"1739375092-3","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204003","GEOMETRIA DESCRIPTIVA 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113952/guia_docent_docnet","Primer quadrimestre","F Bàsica","6.0","Primer curs"
"1739375092-4","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204101","INTRODUCCIÓ A PROJECTES 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116501/guia_docent_docnet","Primer quadrimestre","Obligatòria","6.0","Primer curs"
"1739375092-5","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204010","MATEMÀTIQUES 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113954/guia_docent_docnet","Primer quadrimestre","F Bàsica","6.0","Primer curs"
"1739375092-6","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204006","ART I ARQUITECTURA","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116500/guia_docent_docnet","Segon quadrimestre","F Bàsica","6.0","Primer curs"
"1739375092-7","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204002","DIBUIX ARQUITECTÒNIC 2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116499/guia_docent_docnet","Segon quadrimestre","F Bàsica","6.0","Primer curs"
"1739375092-8","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204004","GEOMETRIA DESCRIPTIVA 2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112849/guia_docent_docnet","Segon quadrimestre","F Bàsica","6.0","Primer curs"
"1739375092-9","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204102","INTRODUCCIÓ A PROJECTES 2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113537/guia_docent_docnet","Segon quadrimestre","Obligatòria","6.0","Primer curs"
"1739375092-10","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204009","MATEMÀTIQUES 2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116068/guia_docent_docnet","Segon quadrimestre","F Bàsica","6.0","Primer curs"
"1739375092-11","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204111","CONSTRUCCIÓ 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112845/guia_docent_docnet","Primer quadrimestre","Obligatòria","6.0","Segon curs"
"1739375092-12","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204008","FÍSICA DE LES INSTAL·LACIONS","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115208/guia_docent_docnet","Primer quadrimestre","F Bàsica","6.0","Segon curs"
"1739375092-13","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204103","URBANISME I PROJECTES 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116069/guia_docent_docnet","Primer quadrimestre","Obligatòria","12.0","Segon curs"
"1739375092-14","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204118","ESTRUCTURES 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/114373/guia_docent_docnet","Primer quadrimestre/Segon quadrimestre","Obligatòria","6.0","Segon curs"
"1739375092-15","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204112","CONSTRUCCIÓ 2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115202/guia_docent_docnet","Segon quadrimestre","Obligatòria","4.0","Segon curs"
"1739375092-16","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204126","HISTÒRIA DE L'ARQUITECTURA 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113536/guia_docent_docnet","Segon quadrimestre","Obligatòria","4.0","Segon curs"
"1739375092-17","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204122","INSTAL·LACIONS 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112846/guia_docent_docnet","Segon quadrimestre","Obligatòria","4.0","Segon curs"
"1739375092-18","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204005","TÈCNIQUES DE REPRESENTACIÓ","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112844/guia_docent_docnet","Segon quadrimestre","F Bàsica","6.0","Segon curs"
"1739375092-19","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204104","URBANISME I PROJECTES 2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115205/guia_docent_docnet","Segon quadrimestre","Obligatòria","12.0","Segon curs"
"1739375092-20","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204113","CONSTRUCCIÓ 3","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/114372/guia_docent_docnet","Primer quadrimestre","Obligatòria","4.0","Tercer curs"
"1739375092-21","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204119","ESTRUCTURES 2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115203/guia_docent_docnet","Primer quadrimestre","Obligatòria","4.0","Tercer curs"
"1739375092-22","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204128","HISTÒRIA DE L'ARQUITECTURA 2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116502/guia_docent_docnet","Primer quadrimestre","Obligatòria","3.0","Tercer curs"
"1739375092-23","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204123","INSTAL·LACIONS 2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112847/guia_docent_docnet","Primer quadrimestre","Obligatòria","3.0","Tercer curs"
"1739375092-24","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204129","TEORIA DE L'ARQUITECTURA","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115210/guia_docent_docnet","Primer quadrimestre","Obligatòria","4.0","Tercer curs"
"1739375092-25","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204105","URBANISME I PROJECTES 3","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112659/guia_docent_docnet","Primer quadrimestre","Obligatòria","12.0","Tercer curs"
"1739375092-26","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204114","CONSTRUCCIÓ 4","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113535/guia_docent_docnet","Segon quadrimestre","Obligatòria","6.0","Tercer curs"
"1739375092-27","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204120","ESTRUCTURES 3","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115206/guia_docent_docnet","Segon quadrimestre","Obligatòria","4.0","Tercer curs"
"1739375092-28","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204116","GEOTÈCNIA","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112663/guia_docent_docnet","Segon quadrimestre","Obligatòria","4.0","Tercer curs"
"1739375092-29","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204127","HISTÒRIA DE L'ARQUITECTURA 3","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112848/guia_docent_docnet","Segon quadrimestre","Obligatòria","4.0","Tercer curs"
"1739375092-30","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204106","URBANISME I PROJECTES 4","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113538/guia_docent_docnet","Segon quadrimestre","Obligatòria","12.0","Tercer curs"
"1739375092-31","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204132","AMIDAMENTS I PRESSUPOSTOS","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113539/guia_docent_docnet","Primer quadrimestre","Obligatòria","4.0","Quart curs"
"1739375092-32","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204131","COMPOSICIÓ 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112851/guia_docent_docnet","Primer quadrimestre","Obligatòria","4.0","Quart curs"
"1739375092-33","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204115","CONSTRUCCIÓ 5","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112662/guia_docent_docnet","Primer quadrimestre","Obligatòria","6.0","Quart curs"
"1739375092-34","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204121","ESTRUCTURES 4","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116498/guia_docent_docnet","Primer quadrimestre","Obligatòria","4.0","Quart curs"
"1739375092-35","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204107","URBANISME I PROJECTES 5","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112661/guia_docent_docnet","Primer quadrimestre","Obligatòria","12.0","Quart curs"
"1739375092-36","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204130","COMPOSICIÓ 2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116503/guia_docent_docnet","Segon quadrimestre","Obligatòria","4.0","Quart curs"
"1739375092-37","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204133","GESTIÓ PROFESSIONAL","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/114374/guia_docent_docnet","Segon quadrimestre","Obligatòria","3.0","Quart curs"
"1739375092-38","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204124","INSTAL·LACIONS 3","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112842/guia_docent_docnet","Segon quadrimestre","Obligatòria","3.0","Quart curs"
"1739375092-39","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204108","URBANISME I PROJECTES 6","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116448/guia_docent_docnet","Segon quadrimestre","Obligatòria","12.0","Quart curs"
"1739375092-40","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204134","ARQUITECTURA LEGAL","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112664/guia_docent_docnet","Primer quadrimestre","Obligatòria","4.0","Cinque curs"
"1739375092-41","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204125","INSTAL·LACIONS 4","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115207/guia_docent_docnet","Primer quadrimestre","Obligatòria","4.0","Cinque curs"
"1739375092-42","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204117","PATOLOGIES I REHABILITACIÓ","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112841/guia_docent_docnet","Primer quadrimestre","Obligatòria","6.0","Cinque curs"
"1739375092-43","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204109","URBANISME I PROJECTES 7","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116067/guia_docent_docnet","Primer quadrimestre","Obligatòria","12.0","Cinque curs"
"1739375092-44","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204110","URBANISME I PROJECTES 8","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116449/guia_docent_docnet","Segon quadrimestre","Obligatòria","12.0","Cinque curs"
"1739375092-45","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204301","PROJECTE DE FI DE GRAU","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116070/guia_docent_docnet","Anual","TFG","30.0","Sise curs"
"1739375092-46","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204501","PRÀCTIQUES EXTERNES 2","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115209/guia_docent_docnet","Convocatòries GE i J (1r quadrimestre)","Optativa","4.0","Optatives"
"1739375092-47","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204213","INSTRUMENTS DE PLANEJAMENT","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115204/guia_docent_docnet","Primer quadrimestre","Optativa","4.0","Optatives"
"1739375092-48","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204210","PATRIMONI ARQUITECTÒNIC. ANÀLISI I INTERVENCIONS","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116066/guia_docent_docnet","Primer quadrimestre","Optativa","4.0","Optatives"
"1739375092-49","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204211","CENTRES HISTÒRICS I RENOVACIÓ URBANA","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112660/guia_docent_docnet","Segon quadrimestre","Optativa","4.0","Optatives"
"1739375092-50","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204217","EL PLANEJAMENT URBANÍSTIC. TEORIA I MÈTODE","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116073/guia_docent_docnet","Segon quadrimestre","Optativa","6.0","Optatives"
"1739375092-51","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204218","ESTRUCTURES SINGULARS","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116074/guia_docent_docnet","Segon quadrimestre","Optativa","4.0","Optatives"
"1739375092-52","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204203","ESTUDIS EN EL MARC DE LA MOBILITAT","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116504/guia_docent_docnet","Segon quadrimestre","Optativa","3.0","Optatives"
"1739375092-53","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204219","GÈNERE, CIÈNCIA I CANVI SOCIAL","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/114375/guia_docent_docnet","Segon quadrimestre","Optativa","4.0","Optatives"
"1739375092-54","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204212","PLANEJAMENT I TRANSFORMACIÓ DE LES CIUTATS TURÍSTIQUES DEL LITORAL MEDITERRANI","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112843/guia_docent_docnet","Segon quadrimestre","Optativa","4.0","Optatives"
"1739375092-55","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204214","PROJECTAR LA CIUTAT. HABITATGE I ESPAI PÚBLIC","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116065/guia_docent_docnet","Segon quadrimestre","Optativa","4.0","Optatives"
"1739375092-56","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204502","PRÀCTIQUES EXTERNES 1","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112850/guia_docent_docnet","Segon quadrimestre","Optativa","4.0","Optatives"
"1739375092-57","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204503","PRÀCTIQUES EXTERNES 3","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/112852/guia_docent_docnet","Segon quadrimestre","Optativa","4.0","Optatives"
"1739375092-58","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204206","REPRESENTACIÓ I RESTAURACIÓ VIRTUAL. PATRIMONI I CIUTAT","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/115201/guia_docent_docnet","Segon quadrimestre","Optativa","6.0","Optatives"
"1739375092-59","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204215","SOSTENIBILITAT A LA CIUTAT CONTEMPORÀNIA","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116072/guia_docent_docnet","Segon quadrimestre","Optativa","4.0","Optatives"
"1739375092-60","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204220","SOSTENIBILITAT I CANVI CLIMÀTIC","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/116071/guia_docent_docnet","Segon quadrimestre","Optativa","6.0","Optatives"
"1739375092-61","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204205","TEORIA I PRÀCTICA DE LA RESTAURACIÓ DEL PATRIMONI ARQUITECTÒNIC","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113955/guia_docent_docnet","Segon quadrimestre","Optativa","6.0","Optatives"
"1739375092-62","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/gestionar","Presencial","22204207","TERRITORI I PAISATGE. PROJECTES TERRITORIALS","https://guiadocent.urv.cat/guido/public/centres/504/ensenyaments/3427/assignatures/113540/guia_docent_docnet","Segon quadrimestre","Optativa","4.0","Optatives"
"1739375094-63","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17695101","ARQUITECTURA ELÈCTRICA DEL VEHICLE","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/112981/guia_docent_docnet","Primer quadrimestre","Obligatòria","3.0","Primer curs"
"1739375094-64","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17695102","DESENVOLUPAMENT DE SOFTWARE PER A L'AUTOMÒBIL","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/116343/guia_docent_docnet","Primer quadrimestre","Obligatòria","3.0","Primer curs"
"1739375094-65","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17695103","DISSENY DE SISTEMES DIGITALS AMB FPGA","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/115338/guia_docent_docnet","Primer quadrimestre","Obligatòria","3.0","Primer curs"
"1739375094-66","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17695104","ELECTRÒNICA D'ALTA FREQÜÈNCIA I COMUNICACIONS","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/113766/guia_docent_docnet","Primer quadrimestre","Obligatòria","6.0","Primer curs"
"1739375094-67","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17695105","EMMAGATZEMATGE I CONVERSIÓ D'ENERGIA","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/115339/guia_docent_docnet","Primer quadrimestre","Obligatòria","3.0","Primer curs"
"1739375094-68","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17695106","GENERACIÓ D'ENERGIA ELÈCTRICA","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/114167/guia_docent_docnet","Primer quadrimestre","Obligatòria","3.0","Primer curs"
"1739375094-69","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17695107","METODOLOGIES DE DESENVOLUPAMENT EN AUTOMOCIÓ","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/113767/guia_docent_docnet","Primer quadrimestre","Obligatòria","3.0","Primer curs"
"1739375094-70","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17695108","MODELATGE I CONTROL DE CONVERTIDORS","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/116344/guia_docent_docnet","Primer quadrimestre","Obligatòria","3.0","Primer curs"
"1739375094-71","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17695109","MODELATGE I CONTROL DE MOTORS","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/112982/guia_docent_docnet","Primer quadrimestre","Obligatòria","3.0","Primer curs"
"1739375094-72","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17695110","INNOVACIÓ EN TECNOLOGIES INDUSTRIALS","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/115340/guia_docent_docnet","Segon quadrimestre","Obligatòria","3.0","Primer curs"
"1739375094-73","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17695111","LABORATORI D'ELECTRÒNICA DE POTÈNCIA","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/116322/guia_docent_docnet","Segon quadrimestre","Obligatòria","3.0","Primer curs"
"1739375094-74","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17695112","LABORATORI DE SISTEMES ENCASTATS I COMUNICACIONS","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/114168/guia_docent_docnet","Segon quadrimestre","Obligatòria","3.0","Primer curs"
"1739375094-75","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17695401","PRÀCTIQUES EXTERNES","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/114169/guia_docent_docnet","Segon quadrimestre","Prac Externes","6.0","Primer curs"
"1739375094-76","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17695301","TREBALL DE FI DE MÀSTER","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/115341/guia_docent_docnet","Segon quadrimestre","TFM","15.0","Primer curs"
"1739375094-77","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17244009","ANÀLISI DE CIRCUITS I SISTEMES LINEALS","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/114165/guia_docent_docnet","Primer quadrimestre","C Fomació","6.0","Complements de formació"
"1739375094-78","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17695602","CF CIRCUITS ANALÒGICS I DIGITALS","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/114643/guia_docent_docnet","Primer quadrimestre","C Fomació","3.0","Complements de formació"
"1739375094-79","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17695601","CF ELECTRÒNICA DE POTÈNCIA","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/116345/guia_docent_docnet","Primer quadrimestre","C Fomació","3.0","Complements de formació"
"1739375094-80","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17204110","ELECTRÒNICA DE POTÈNCIA","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/114166/guia_docent_docnet","Primer quadrimestre","C Fomació","6.0","Complements de formació"
"1739375094-81","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17204108","ELECTRÒNICA DIGITAL","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/116342/guia_docent_docnet","Primer quadrimestre","C Fomació","6.0","Complements de formació"
"1739375094-82","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/gestionar","Semipresencial","17204119","INFORMÀTICA INDUSTRIAL 1","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3431/assignatures/116321/guia_docent_docnet","Primer quadrimestre","C Fomació","6.0","Complements de formació"
"1739375098-83","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3412/assignatures/gestionar","Presencial","17655101","GESTIÓ EMPRESARIAL","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3412/assignatures/114594/guia_docent_docnet","Primer quadrimestre","Obligatòria","6.0","Primer curs"
"1739375098-84","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3412/assignatures/gestionar","Presencial","17655112","DISSENY I ASSAIG DE MÀQUINES","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3412/assignatures/115051/guia_docent_docnet","Segon quadrimestre","Obligatòria","4.5","Primer curs"
"1739375098-85","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3412/assignatures/gestionar","Presencial","17655105","ESTRUCTURES","https://guiadocent.urv.cat/guido/public/centres/499/ensenyaments/3412/assignatures/116264/guia_docent_docnet","Segon quadrimestre","Obligatòria","3.0","Primer curs"
